total_positions,win_positions,win_rate,total_pnl,total_roi,sharpe_ratio,max_drawdown,Port_ID,Rank
571,242,0.4238178633975482,3107188.1046368796,0.8588740814958488,0.6604747632609637,0.0,4019895412775450368,41.0
105,51,0.4857142857142857,9925953.008508079,0.8566356132150272,0.7664696263561401,0.046280476542581606,4030565764341697025,42.0
82,37,0.45121951219512196,-2651083.41473768,0.8457327655685116,0.5306712013387686,0.8711325121832949,3786761687746711808,43.0
576,107,0.1857638888888889,713463.9514834716,0.8378386850187004,0.40098267536905047,0.11192961769231172,4002413037164645377,44.0
112,55,0.49107142857142855,35429570.12924729,0.818790707042575,0.2211991411881752,3.5150413053387544,3941019213896463617,45.0
85,8,0.09411764705882353,14674.7450986759,0.7595184323263288,0.32232735878766144,0.0,4030392204221219329,46.0
371,141,0.38005390835579517,155580336.52748653,0.7495006498662122,0.22433119541866367,0.16396168981471804,3988205565930333696,47.0
6050,2430,0.40165289256198344,1962727.5708092921,0.7493992116941967,0.46187782653222137,0.1936596816419746,3931992636670880512,48.0
4522,2366,0.5232198142414861,338424.38334299077,0.7309674505431765,0.5915939409951825,0.044442261850825664,3999240873283311617,49.0
1932,1028,0.5320910973084886,-22260292.632376827,0.7223811422057607,0.213896059526175,182.19623276162307,3966142151544441601,50.0
681,117,0.17180616740088106,-174.8622196833321,0.7136085162626153,0.3147684763707409,0.7744190039725517,4006366295148391425,51.0
315,118,0.3746031746031746,32284005.798496604,0.7040117865869535,0.5635486621100195,0.003288564026487499,3939318616482048768,52.0
114,44,0.38596491228070173,10708547.949124461,0.7029791246516934,0.6826639361908191,0.37159726490317885,4031451549482615297,53.0
827,339,0.40991535671100365,2625073.965039934,0.6929393257083947,0.5094129300334752,0.005960276259718505,4023616625178799873,54.0
244,90,0.36885245901639346,770468.9781105861,0.6924289866043446,0.5354523564821045,0.9327364238520817,4031414524297538817,55.0
882,451,0.5113378684807256,11503.341926209347,0.6801507035269584,0.5176469266321517,0.0002999900113120647,3865845304835489536,56.0
2661,980,0.368282600526118,1340577.0916586604,0.6653743125496284,0.3779639977580096,0.17651198062667342,3996598927198996481,57.0
4530,1675,0.369757174392936,15384797.838403508,0.6538665598589237,0.3902007941664482,0.10717802553537198,3949214983441029120,58.0
